,respondent_id,seasonal_vaccine,xyz_vaccine
180,26887,0.8,0.8
181,26888,0.8,0.8
182,26889,0.2,0.2
183,26890,0.2,0.2
184,26891,0.3,0.3
185,26892,0.6,0.6
186,26893,0.2,0.2
187,26894,0.4,0.4
188,26895,0.7,0.7
189,26896,0.1,0.1
190,26897,0.7,0.7
191,26898,0.3,0.3
192,26899,0.2,0.2
193,26900,0.2,0.2
194,26901,0.4,0.4
195,26902,0.8,0.8
196,26903,0.3,0.3
197,26904,0.5,0.5
198,26905,0.7,0.7
199,26906,0.2,0.2
200,26907,0.4,0.4
201,26908,0.8,0.8
202,26909,0.6,0.6
203,26910,0.2,0.2
204,26911,0.1,0.1
205,26912,0.8,0.8
206,26913,0.6,0.6
207,26914,0.3,0.3
208,26915,0.5,0.5
209,26916,0.3,0.3
210,26917,0.2,0.2
211,26918,0.8,0.8
212,26919,0.5,0.5
213,26920,0.3,0.3
214,26921,0.5,0.5
215,26922,0.4,0.4
216,26923,0.5,0.5
217,26924,0.7,0.7
218,26925,0.4,0.4
219,26926,0.3,0.3
220,26927,0.4,0.4
221,26928,0.3,0.3
222,26929,0.1,0.1
223,26930,0.7,0.7
224,26931,0.5,0.5
225,26932,0.6,0.6
226,26933,0.4,0.4
227,26934,0.5,0.5
228,26935,0.4,0.4
229,26936,0.6,0.6
230,26937,0.5,0.5
231,26938,0.0,0.0
232,26939,0.1,0.1
233,26940,0.3,0.3
234,26941,0.4,0.4
235,26942,0.6,0.6
236,26943,0.4,0.4
237,26944,0.2,0.2
238,26945,0.5,0.5
239,26946,0.4,0.4
240,26947,0.4,0.4
241,26948,0.2,0.2
242,26949,0.3,0.3
243,26950,0.3,0.3
244,26951,0.3,0.3
245,26952,0.6,0.6
246,26953,0.9,0.9
247,26954,0.1,0.1
248,26955,0.4,0.4
249,26956,0.2,0.2
250,26957,0.7,0.7
251,26958,0.6,0.6
252,26959,0.1,0.1
253,26960,0.1,0.1
254,26961,0.5,0.5
255,26962,0.7,0.7
256,26963,0.2,0.2
257,26964,0.2,0.2
258,26965,0.9,0.9
259,26966,0.1,0.1
260,26967,0.5,0.5
261,26968,0.6,0.6
262,26969,0.2,0.2
263,26970,0.4,0.4
264,26971,0.3,0.3
265,26972,0.0,0.0
266,26973,0.2,0.2
267,26974,0.2,0.2
268,26975,0.5,0.5
269,26976,0.4,0.4
270,26977,0.4,0.4
271,26978,0.5,0.5
272,26979,0.4,0.4
273,26980,0.3,0.3
274,26981,0.1,0.1
275,26982,0.6,0.6
276,26983,0.5,0.5
277,26984,0.1,0.1
278,26985,0.3,0.3
279,26986,0.4,0.4
280,26987,0.4,0.4
281,26988,0.2,0.2
282,26989,0.7,0.7
283,26990,0.3,0.3
284,26991,0.2,0.2
285,26992,0.3,0.3
286,26993,0.6,0.6
287,26994,0.1,0.1
288,26995,0.7,0.7
289,26996,0.2,0.2
290,26997,0.4,0.4
291,26998,0.2,0.2
292,26999,0.3,0.3
293,27000,0.3,0.3
294,27001,0.7,0.7
295,27002,0.3,0.3
296,27003,0.3,0.3
297,27004,0.2,0.2
298,27005,0.6,0.6
299,27006,0.8,0.8
300,27007,0.1,0.1
301,27008,0.2,0.2
302,27009,0.2,0.2
303,27010,0.2,0.2
304,27011,0.1,0.1
305,27012,0.4,0.4
306,27013,0.3,0.3
307,27014,0.3,0.3
308,27015,0.2,0.2
309,27016,0.3,0.3
310,27017,0.7,0.7
311,27018,0.1,0.1
312,27019,0.9,0.9
313,27020,0.2,0.2
314,27021,0.5,0.5
315,27022,0.3,0.3
316,27023,0.3,0.3
317,27024,0.5,0.5
318,27025,0.0,0.0
319,27026,0.5,0.5
320,27027,0.7,0.7
321,27028,0.8,0.8
322,27029,0.2,0.2
323,27030,0.4,0.4
324,27031,0.4,0.4
325,27032,0.3,0.3
326,27033,0.6,0.6
327,27034,0.3,0.3
328,27035,0.3,0.3
329,27036,0.5,0.5
330,27037,0.5,0.5
331,27038,0.1,0.1
332,27039,0.7,0.7
333,27040,0.2,0.2
334,27041,0.5,0.5
335,27042,0.4,0.4
336,27043,0.4,0.4
337,27044,0.2,0.2
338,27045,0.6,0.6
339,27046,0.2,0.2
340,27047,0.3,0.3
341,27048,0.2,0.2
342,27049,0.8,0.8
343,27050,0.6,0.6
344,27051,0.5,0.5
345,27052,0.4,0.4
346,27053,0.9,0.9
347,27054,0.2,0.2
348,27055,0.5,0.5
349,27056,0.3,0.3
350,27057,0.1,0.1
351,27058,0.9,0.9
352,27059,0.3,0.3
353,27060,0.4,0.4
354,27061,0.6,0.6
355,27062,0.3,0.3
356,27063,0.4,0.4
357,27064,0.7,0.7
358,27065,0.4,0.4
359,27066,0.5,0.5
360,27067,0.4,0.4
361,27068,0.7,0.7
362,27069,0.8,0.8
363,27070,0.2,0.2
364,27071,0.1,0.1
365,27072,0.5,0.5
366,27073,0.6,0.6
367,27074,0.4,0.4
368,27075,0.6,0.6
369,27076,0.6,0.6
370,27077,0.1,0.1
371,27078,0.6,0.6
372,27079,0.6,0.6
373,27080,0.3,0.3
374,27081,0.5,0.5
375,27082,0.2,0.2
376,27083,0.4,0.4
377,27084,0.7,0.7
378,27085,0.0,0.0
379,27086,0.2,0.2
380,27087,0.4,0.4
381,27088,0.8,0.8
382,27089,0.5,0.5
383,27090,0.2,0.2
384,27091,0.1,0.1
385,27092,0.3,0.3
386,27093,0.2,0.2
387,27094,0.4,0.4
388,27095,0.6,0.6
389,27096,0.4,0.4
390,27097,0.4,0.4
391,27098,0.8,0.8
392,27099,0.4,0.4
393,27100,0.2,0.2
394,27101,0.8,0.8
395,27102,0.5,0.5
396,27103,0.4,0.4
397,27104,0.5,0.5
398,27105,0.6,0.6
399,27106,0.8,0.8
400,27107,0.4,0.4
401,27108,0.5,0.5
402,27109,0.3,0.3
403,27110,0.6,0.6
404,27111,0.2,0.2
405,27112,0.3,0.3
406,27113,0.2,0.2
407,27114,0.2,0.2
408,27115,0.8,0.8
409,27116,0.6,0.6
410,27117,0.2,0.2
411,27118,0.5,0.5
412,27119,0.4,0.4
413,27120,0.8,0.8
414,27121,0.7,0.7
415,27122,0.3,0.3
416,27123,0.0,0.0
417,27124,0.0,0.0
418,27125,0.4,0.4
419,27126,0.2,0.2
420,27127,0.2,0.2
421,27128,0.4,0.4
422,27129,0.4,0.4
423,27130,0.4,0.4
424,27131,0.1,0.1
425,27132,0.8,0.8
426,27133,0.4,0.4
427,27134,0.7,0.7
428,27135,0.6,0.6
429,27136,0.5,0.5
430,27137,0.2,0.2
431,27138,0.5,0.5
432,27139,0.2,0.2
433,27140,0.7,0.7
434,27141,0.6,0.6
435,27142,0.3,0.3
436,27143,0.5,0.5
437,27144,0.2,0.2
438,27145,0.3,0.3
439,27146,0.9,0.9
440,27147,0.4,0.4
441,27148,0.5,0.5
442,27149,0.2,0.2
443,27150,0.9,0.9
444,27151,0.8,0.8
445,27152,0.4,0.4
446,27153,0.6,0.6
447,27154,0.9,0.9
448,27155,0.4,0.4
449,27156,0.5,0.5
450,27157,0.3,0.3
451,27158,0.4,0.4
452,27159,0.1,0.1
453,27160,0.1,0.1
454,27161,0.4,0.4
455,27162,0.8,0.8
456,27163,0.4,0.4
457,27164,0.3,0.3
458,27165,0.6,0.6
459,27166,0.2,0.2
460,27167,0.5,0.5
461,27168,0.6,0.6
462,27169,0.7,0.7
463,27170,0.8,0.8
464,27171,0.3,0.3
465,27172,0.7,0.7
466,27173,0.3,0.3
467,27174,0.2,0.2
468,27175,0.1,0.1
469,27176,0.8,0.8
470,27177,0.9,0.9
471,27178,0.4,0.4
472,27179,0.5,0.5
473,27180,0.2,0.2
474,27181,0.5,0.5
475,27182,0.9,0.9
476,27183,0.5,0.5
477,27184,0.7,0.7
478,27185,0.6,0.6
479,27186,0.4,0.4
480,27187,0.2,0.2
481,27188,0.5,0.5
482,27189,0.6,0.6
483,27190,0.4,0.4
484,27191,0.9,0.9
485,27192,0.8,0.8
486,27193,0.4,0.4
487,27194,0.3,0.3
488,27195,0.2,0.2
489,27196,0.2,0.2
490,27197,0.8,0.8
491,27198,0.9,0.9
492,27199,0.3,0.3
493,27200,0.4,0.4
494,27201,0.9,0.9
495,27202,0.1,0.1
496,27203,0.3,0.3
497,27204,0.2,0.2
498,27205,0.2,0.2
499,27206,0.1,0.1
500,27207,0.1,0.1
501,27208,0.8,0.8
502,27209,0.2,0.2
503,27210,0.3,0.3
504,27211,0.1,0.1
505,27212,0.8,0.8
506,27213,0.3,0.3
507,27214,0.2,0.2
508,27215,0.4,0.4
509,27216,0.9,0.9
510,27217,0.2,0.2
511,27218,0.9,0.9
512,27219,0.5,0.5
513,27220,0.4,0.4
514,27221,0.4,0.4
515,27222,0.4,0.4
516,27223,0.5,0.5
517,27224,0.6,0.6
518,27225,0.2,0.2
519,27226,0.4,0.4
520,27227,0.3,0.3
521,27228,0.8,0.8
522,27229,0.9,0.9
523,27230,0.8,0.8
524,27231,0.6,0.6
525,27232,0.4,0.4
526,27233,0.1,0.1
527,27234,0.1,0.1
528,27235,0.7,0.7
529,27236,0.8,0.8
530,27237,0.2,0.2
531,27238,0.5,0.5
532,27239,0.1,0.1
533,27240,0.4,0.4
534,27241,0.3,0.3
535,27242,0.4,0.4
536,27243,0.0,0.0
537,27244,0.2,0.2
538,27245,0.4,0.4
539,27246,0.8,0.8
540,27247,0.8,0.8
541,27248,0.6,0.6
542,27249,0.5,0.5
543,27250,0.3,0.3
544,27251,0.4,0.4
545,27252,0.7,0.7
546,27253,0.8,0.8
547,27254,0.9,0.9
548,27255,0.3,0.3
549,27256,0.9,0.9
550,27257,0.5,0.5
551,27258,0.4,0.4
552,27259,0.7,0.7
553,27260,0.8,0.8
554,27261,0.7,0.7
555,27262,0.7,0.7
556,27263,0.3,0.3
557,27264,0.3,0.3
558,27265,0.1,0.1
559,27266,0.2,0.2
560,27267,0.7,0.7
561,27268,0.1,0.1
562,27269,0.4,0.4
563,27270,0.2,0.2
564,27271,0.4,0.4
565,27272,0.2,0.2
566,27273,0.1,0.1
567,27274,0.5,0.5
568,27275,0.2,0.2
569,27276,0.6,0.6
570,27277,0.6,0.6
571,27278,0.4,0.4
572,27279,0.4,0.4
573,27280,0.2,0.2
574,27281,0.2,0.2
575,27282,0.6,0.6
576,27283,0.4,0.4
577,27284,0.2,0.2
578,27285,0.2,0.2
579,27286,0.5,0.5
580,27287,0.4,0.4
581,27288,0.3,0.3
582,27289,0.4,0.4
583,27290,0.2,0.2
584,27291,0.6,0.6
585,27292,0.2,0.2
586,27293,0.9,0.9
587,27294,0.1,0.1
588,27295,0.8,0.8
589,27296,0.3,0.3
590,27297,0.3,0.3
591,27298,0.2,0.2
592,27299,0.6,0.6
593,27300,0.9,0.9
594,27301,0.2,0.2
595,27302,0.7,0.7
596,27303,0.4,0.4
597,27304,0.8,0.8
598,27305,0.0,0.0
599,27306,0.7,0.7
600,27307,0.5,0.5
601,27308,0.2,0.2
602,27309,0.9,0.9
603,27310,0.2,0.2
604,27311,0.0,0.0
605,27312,0.6,0.6
606,27313,0.2,0.2
607,27314,0.1,0.1
608,27315,0.5,0.5
609,27316,0.5,0.5
610,27317,0.2,0.2
611,27318,0.1,0.1
612,27319,0.7,0.7
613,27320,0.4,0.4
614,27321,0.7,0.7
615,27322,0.3,0.3
616,27323,0.4,0.4
617,27324,0.4,0.4
618,27325,0.8,0.8
619,27326,0.4,0.4
620,27327,0.4,0.4
621,27328,0.2,0.2
622,27329,0.1,0.1
623,27330,0.4,0.4
624,27331,0.2,0.2
625,27332,0.9,0.9
626,27333,0.5,0.5
627,27334,0.1,0.1
628,27335,0.1,0.1
629,27336,0.1,0.1
630,27337,0.6,0.6
631,27338,0.2,0.2
632,27339,0.3,0.3
633,27340,0.4,0.4
634,27341,0.7,0.7
635,27342,0.4,0.4
636,27343,0.2,0.2
637,27344,0.4,0.4
638,27345,0.3,0.3
639,27346,0.9,0.9
640,27347,0.8,0.8
641,27348,0.4,0.4
642,27349,0.2,0.2
643,27350,0.7,0.7
644,27351,0.7,0.7
645,27352,0.3,0.3
646,27353,0.3,0.3
647,27354,0.6,0.6
648,27355,0.1,0.1
649,27356,0.7,0.7
650,27357,0.3,0.3
651,27358,0.8,0.8
652,27359,0.4,0.4
653,27360,0.5,0.5
654,27361,0.8,0.8
655,27362,0.3,0.3
656,27363,0.1,0.1
657,27364,0.7,0.7
658,27365,0.6,0.6
659,27366,0.6,0.6
660,27367,0.5,0.5
661,27368,0.5,0.5
662,27369,0.1,0.1
663,27370,0.8,0.8
664,27371,0.3,0.3
665,27372,0.2,0.2
666,27373,0.4,0.4
667,27374,0.4,0.4
668,27375,0.7,0.7
669,27376,0.4,0.4
670,27377,0.6,0.6
671,27378,0.1,0.1
672,27379,0.1,0.1
673,27380,0.5,0.5
674,27381,0.4,0.4
675,27382,0.2,0.2
676,27383,0.3,0.3
677,27384,0.6,0.6
678,27385,0.8,0.8
679,27386,0.8,0.8
680,27387,0.4,0.4
681,27388,0.2,0.2
682,27389,0.4,0.4
683,27390,0.1,0.1
684,27391,0.4,0.4
685,27392,0.4,0.4
686,27393,0.3,0.3
687,27394,0.2,0.2
688,27395,0.4,0.4
689,27396,0.1,0.1
690,27397,0.8,0.8
691,27398,0.8,0.8
692,27399,0.4,0.4
693,27400,0.7,0.7
694,27401,0.2,0.2
695,27402,0.9,0.9
696,27403,0.4,0.4
697,27404,0.2,0.2
698,27405,0.4,0.4
699,27406,0.2,0.2
700,27407,0.1,0.1
701,27408,0.5,0.5
702,27409,0.9,0.9
703,27410,0.2,0.2
704,27411,0.2,0.2
705,27412,0.6,0.6
706,27413,0.8,0.8
707,27414,0.5,0.5
708,27415,0.3,0.3
709,27416,0.2,0.2
710,27417,0.7,0.7
711,27418,0.3,0.3
712,27419,0.8,0.8
713,27420,0.2,0.2
714,27421,0.2,0.2
715,27422,0.4,0.4
716,27423,0.4,0.4
717,27424,0.5,0.5
718,27425,0.5,0.5
719,27426,0.2,0.2
720,27427,0.2,0.2
721,27428,0.1,0.1
722,27429,0.4,0.4
723,27430,0.5,0.5
724,27431,0.6,0.6
725,27432,0.3,0.3
726,27433,0.7,0.7
727,27434,0.3,0.3
728,27435,0.6,0.6
729,27436,0.2,0.2
730,27437,0.1,0.1
731,27438,0.4,0.4
732,27439,0.1,0.1
733,27440,0.2,0.2
734,27441,0.8,0.8
735,27442,1.0,1.0
736,27443,0.2,0.2
737,27444,0.0,0.0
738,27445,0.0,0.0
739,27446,0.2,0.2
740,27447,0.3,0.3
741,27448,0.6,0.6
742,27449,0.7,0.7
743,27450,0.8,0.8
744,27451,0.2,0.2
745,27452,0.3,0.3
746,27453,0.7,0.7
747,27454,0.6,0.6
748,27455,0.2,0.2
749,27456,0.3,0.3
750,27457,0.2,0.2
751,27458,0.4,0.4
752,27459,0.2,0.2
753,27460,0.9,0.9
754,27461,0.3,0.3
755,27462,0.3,0.3
756,27463,0.4,0.4
757,27464,0.6,0.6
758,27465,0.8,0.8
759,27466,0.4,0.4
760,27467,0.4,0.4
761,27468,0.4,0.4
762,27469,0.4,0.4
763,27470,0.6,0.6
764,27471,0.6,0.6
765,27472,0.6,0.6
766,27473,0.2,0.2
767,27474,0.3,0.3
768,27475,0.2,0.2
769,27476,0.3,0.3
770,27477,0.3,0.3
771,27478,0.6,0.6
772,27479,0.1,0.1
773,27480,0.2,0.2
774,27481,0.4,0.4
775,27482,0.3,0.3
776,27483,0.5,0.5
777,27484,0.8,0.8
778,27485,0.8,0.8
779,27486,0.3,0.3
780,27487,0.5,0.5
781,27488,0.6,0.6
782,27489,0.5,0.5
783,27490,0.6,0.6
784,27491,0.4,0.4
785,27492,0.3,0.3
786,27493,0.7,0.7
787,27494,0.4,0.4
788,27495,0.3,0.3
789,27496,0.3,0.3
790,27497,0.2,0.2
791,27498,0.4,0.4
792,27499,0.8,0.8
793,27500,0.8,0.8
794,27501,0.5,0.5
795,27502,0.3,0.3
796,27503,0.4,0.4
797,27504,0.1,0.1
798,27505,0.3,0.3
799,27506,0.8,0.8
800,27507,0.1,0.1
801,27508,0.4,0.4
802,27509,0.5,0.5
803,27510,0.5,0.5
804,27511,0.7,0.7
805,27512,0.2,0.2
806,27513,0.4,0.4
807,27514,0.7,0.7
808,27515,0.4,0.4
809,27516,0.7,0.7
810,27517,0.2,0.2
811,27518,0.8,0.8
812,27519,0.2,0.2
813,27520,0.1,0.1
814,27521,0.1,0.1
815,27522,0.2,0.2
816,27523,0.5,0.5
817,27524,0.3,0.3
818,27525,0.3,0.3
819,27526,0.6,0.6
820,27527,0.8,0.8
821,27528,0.5,0.5
822,27529,0.6,0.6
823,27530,0.1,0.1
824,27531,0.1,0.1
825,27532,0.8,0.8
826,27533,0.5,0.5
827,27534,0.1,0.1
828,27535,0.5,0.5
829,27536,0.6,0.6
830,27537,0.4,0.4
831,27538,0.2,0.2
832,27539,0.5,0.5
833,27540,0.3,0.3
834,27541,0.8,0.8
835,27542,0.2,0.2
836,27543,0.4,0.4
837,27544,0.2,0.2
838,27545,0.2,0.2
839,27546,0.5,0.5
840,27547,0.3,0.3
841,27548,0.8,0.8
842,27549,0.4,0.4
843,27550,0.2,0.2
844,27551,0.4,0.4
845,27552,0.5,0.5
846,27553,0.3,0.3
847,27554,0.2,0.2
848,27555,0.2,0.2
849,27556,0.9,0.9
850,27557,0.8,0.8
851,27558,0.2,0.2
852,27559,0.4,0.4
853,27560,0.7,0.7
854,27561,0.5,0.5
855,27562,0.5,0.5
856,27563,0.6,0.6
857,27564,0.5,0.5
858,27565,0.3,0.3
859,27566,0.2,0.2
860,27567,0.6,0.6
861,27568,0.7,0.7
862,27569,0.1,0.1
863,27570,0.7,0.7
864,27571,0.1,0.1
865,27572,0.3,0.3
866,27573,0.5,0.5
867,27574,0.3,0.3
868,27575,0.5,0.5
869,27576,0.4,0.4
870,27577,0.3,0.3
871,27578,0.2,0.2
872,27579,0.4,0.4
873,27580,0.4,0.4
874,27581,0.5,0.5
875,27582,0.2,0.2
876,27583,0.2,0.2
877,27584,0.3,0.3
878,27585,0.3,0.3
879,27586,0.4,0.4
880,27587,0.3,0.3
881,27588,0.4,0.4
882,27589,0.2,0.2
883,27590,0.2,0.2
884,27591,0.7,0.7
885,27592,0.1,0.1
886,27593,0.1,0.1
887,27594,0.4,0.4
888,27595,0.5,0.5
889,27596,0.4,0.4
890,27597,0.3,0.3
891,27598,0.5,0.5
892,27599,0.6,0.6
893,27600,0.6,0.6
894,27601,0.9,0.9
895,27602,0.6,0.6
896,27603,0.1,0.1
897,27604,0.7,0.7
898,27605,0.8,0.8
899,27606,0.2,0.2
900,27607,0.2,0.2
901,27608,0.4,0.4
902,27609,0.4,0.4
903,27610,0.4,0.4
904,27611,0.3,0.3
905,27612,0.8,0.8
906,27613,0.8,0.8
907,27614,0.3,0.3
908,27615,0.7,0.7
909,27616,0.2,0.2
910,27617,0.2,0.2
911,27618,0.1,0.1
912,27619,0.3,0.3
913,27620,0.4,0.4
914,27621,0.4,0.4
915,27622,0.9,0.9
916,27623,0.8,0.8
917,27624,0.5,0.5
918,27625,0.2,0.2
919,27626,0.2,0.2
920,27627,0.6,0.6
921,27628,0.7,0.7
922,27629,0.4,0.4
923,27630,0.6,0.6
924,27631,0.4,0.4
925,27632,0.2,0.2
926,27633,0.3,0.3
927,27634,0.2,0.2
928,27635,0.3,0.3
929,27636,0.9,0.9
930,27637,0.1,0.1
931,27638,0.1,0.1
932,27639,0.2,0.2
933,27640,0.7,0.7
934,27641,0.9,0.9
935,27642,0.5,0.5
936,27643,0.3,0.3
937,27644,0.6,0.6
938,27645,0.0,0.0
939,27646,0.4,0.4
940,27647,0.2,0.2
941,27648,0.1,0.1
942,27649,0.6,0.6
943,27650,0.5,0.5
944,27651,0.7,0.7
945,27652,0.1,0.1
946,27653,0.0,0.0
947,27654,0.4,0.4
948,27655,0.1,0.1
949,27656,0.1,0.1
950,27657,0.6,0.6
951,27658,0.5,0.5
952,27659,0.1,0.1
953,27660,0.4,0.4
954,27661,0.1,0.1
955,27662,0.4,0.4
956,27663,0.7,0.7
957,27664,0.1,0.1
958,27665,0.5,0.5
959,27666,0.7,0.7
960,27667,0.3,0.3
961,27668,0.9,0.9
962,27669,0.7,0.7
963,27670,0.8,0.8
964,27671,0.8,0.8
965,27672,0.2,0.2
966,27673,0.5,0.5
967,27674,0.7,0.7
968,27675,0.5,0.5
969,27676,0.8,0.8
970,27677,0.2,0.2
971,27678,0.4,0.4
972,27679,0.4,0.4
973,27680,0.6,0.6
974,27681,0.1,0.1
975,27682,0.5,0.5
976,27683,0.6,0.6
977,27684,0.2,0.2
978,27685,0.1,0.1
979,27686,0.2,0.2
980,27687,0.1,0.1
981,27688,0.2,0.2
982,27689,0.7,0.7
983,27690,0.7,0.7
984,27691,0.5,0.5
985,27692,0.3,0.3
986,27693,0.7,0.7
987,27694,0.3,0.3
988,27695,0.3,0.3
989,27696,0.6,0.6
990,27697,0.8,0.8
991,27698,0.1,0.1
992,27699,0.2,0.2
993,27700,0.4,0.4
994,27701,0.1,0.1
995,27702,0.1,0.1
996,27703,0.0,0.0
997,27704,0.2,0.2
998,27705,0.8,0.8
999,27706,0.8,0.8
1000,27707,0.2,0.2
1001,27708,0.2,0.2
1002,27709,0.3,0.3
1003,27710,0.7,0.7
1004,27711,0.2,0.2
1005,27712,0.2,0.2
1006,27713,0.1,0.1
1007,27714,0.0,0.0
1008,27715,0.4,0.4
1009,27716,0.2,0.2
1010,27717,0.3,0.3
1011,27718,0.5,0.5
1012,27719,0.4,0.4
1013,27720,0.2,0.2
1014,27721,0.3,0.3
1015,27722,0.2,0.2
1016,27723,0.6,0.6
1017,27724,0.2,0.2
1018,27725,0.4,0.4
1019,27726,0.2,0.2
1020,27727,0.7,0.7
1021,27728,0.3,0.3
1022,27729,0.1,0.1
1023,27730,0.3,0.3
1024,27731,0.7,0.7
1025,27732,0.6,0.6
1026,27733,0.3,0.3
1027,27734,0.5,0.5
1028,27735,0.3,0.3
1029,27736,0.3,0.3
1030,27737,0.8,0.8
1031,27738,0.9,0.9
1032,27739,0.3,0.3
1033,27740,0.4,0.4
1034,27741,0.5,0.5
1035,27742,0.5,0.5
1036,27743,0.4,0.4
1037,27744,0.3,0.3
1038,27745,0.5,0.5
1039,27746,0.7,0.7
1040,27747,0.5,0.5
1041,27748,0.1,0.1
1042,27749,0.4,0.4
1043,27750,0.5,0.5
1044,27751,0.1,0.1
1045,27752,0.8,0.8
1046,27753,0.0,0.0
1047,27754,0.8,0.8
1048,27755,0.9,0.9
1049,27756,0.3,0.3
1050,27757,0.2,0.2
1051,27758,0.9,0.9
1052,27759,0.1,0.1
1053,27760,0.7,0.7
1054,27761,0.4,0.4
1055,27762,0.2,0.2
1056,27763,0.7,0.7
1057,27764,0.3,0.3
1058,27765,0.3,0.3
1059,27766,0.6,0.6
1060,27767,0.6,0.6
1061,27768,0.1,0.1
1062,27769,0.2,0.2
1063,27770,0.4,0.4
1064,27771,0.4,0.4
1065,27772,0.6,0.6
1066,27773,0.3,0.3
